date,unemployed
1/1/89,6682
2/1/89,6359
3/1/89,6205
4/1/89,6468
5/1/89,6375
6/1/89,6577
7/1/89,6495
8/1/89,6511
9/1/89,6590
10/1/89,6630
11/1/89,6725
12/1/89,6667
1/1/90,6752
2/1/90,6651
3/1/90,6598
4/1/90,6797
5/1/90,6742
6/1/90,6590
7/1/90,6922
8/1/90,7188
9/1/90,7368
10/1/90,7459
11/1/90,7764
12/1/90,7901
1/1/91,8015
2/1/91,8265
3/1/91,8586
4/1/91,8439
5/1/91,8736
6/1/91,8692
7/1/91,8586
8/1/91,8666
9/1/91,8722
10/1/91,8842
11/1/91,8931
12/1/91,9198
1/1/92,9283
2/1/92,9454
3/1/92,9460
4/1/92,9415
5/1/92,9744
6/1/92,10040
7/1/92,9850
8/1/92,9787
9/1/92,9781
10/1/92,9398
11/1/92,9565
12/1/92,9557
1/1/93,9325
2/1/93,9183
3/1/93,9056
4/1/93,9110
5/1/93,9149
6/1/93,9121
7/1/93,8930
8/1/93,8763
9/1/93,8714
10/1/93,8750
11/1/93,8542
12/1/93,8477
1/1/94,8630
2/1/94,8583
3/1/94,8470
4/1/94,8331
5/1/94,7915
6/1/94,7927
7/1/94,7946
8/1/94,7933
9/1/94,7734
10/1/94,7632
11/1/94,7375
12/1/94,7230
1/1/95,7375
2/1/95,7187
3/1/95,7153
4/1/95,7645
5/1/95,7430
6/1/95,7427
7/1/95,7527
8/1/95,7484
9/1/95,7478
10/1/95,7328
11/1/95,7426
12/1/95,7423
1/1/96,7491
2/1/96,7313
3/1/96,7318
4/1/96,7415
5/1/96,7423
6/1/96,7095
7/1/96,7337
8/1/96,6882
9/1/96,6979
10/1/96,7031
11/1/96,7236
12/1/96,7253
1/1/97,7158
2/1/97,7102
3/1/97,7000
4/1/97,6873
5/1/97,6655
6/1/97,6799
7/1/97,6655
8/1/97,6608
9/1/97,6656
10/1/97,6454
11/1/97,6308
12/1/97,6476
1/1/98,6368
2/1/98,6306
3/1/98,6422
4/1/98,5941
5/1/98,6047
6/1/98,6212
7/1/98,6259
8/1/98,6179
9/1/98,6300
10/1/98,6280
11/1/98,6100
12/1/98,6032
1/1/99,5976
2/1/99,6111
3/1/99,5783
4/1/99,6004
5/1/99,5796
6/1/99,5951
7/1/99,6025
8/1/99,5838
9/1/99,5915
10/1/99,5778
11/1/99,5716
12/1/99,5653
1/1/00,5708
2/1/00,5858
3/1/00,5733
4/1/00,5481
5/1/00,5758
6/1/00,5651
7/1/00,5747
8/1/00,5853
9/1/00,5625
10/1/00,5534
11/1/00,5639
12/1/00,5634
1/1/01,6023
2/1/01,6089
3/1/01,6141
4/1/01,6271
5/1/01,6226
6/1/01,6484
7/1/01,6583
8/1/01,7042
9/1/01,7142
10/1/01,7694
11/1/01,8003
12/1/01,8258
1/1/02,8182
2/1/02,8215
3/1/02,8304
4/1/02,8599
5/1/02,8399
6/1/02,8393
7/1/02,8390
8/1/02,8304
9/1/02,8251
10/1/02,8307
11/1/02,8520
12/1/02,8640
1/1/03,8520
2/1/03,8618
3/1/03,8588
4/1/03,8842
5/1/03,8957
6/1/03,9266
7/1/03,9011
8/1/03,8896
9/1/03,8921
10/1/03,8732
11/1/03,8576
12/1/03,8317
1/1/04,8370
2/1/04,8167
3/1/04,8491
4/1/04,8170
5/1/04,8212
6/1/04,8286
7/1/04,8136
8/1/04,7990
9/1/04,7927
10/1/04,8061
11/1/04,7932
12/1/04,7934
1/1/05,7784
2/1/05,7980
3/1/05,7737
4/1/05,7672
5/1/05,7651
6/1/05,7524
7/1/05,7406
8/1/05,7345
9/1/05,7553
10/1/05,7453
11/1/05,7566
12/1/05,7279
1/1/06,7064
2/1/06,7184
3/1/06,7072
4/1/06,7120
5/1/06,6980
6/1/06,7001
7/1/06,7175
8/1/06,7091
9/1/06,6847
10/1/06,6727
11/1/06,6872
12/1/06,6762
1/1/07,7116
2/1/07,6927
3/1/07,6731
4/1/07,6850
5/1/07,6766
6/1/07,6979
7/1/07,7149
8/1/07,7067
9/1/07,7170
10/1/07,7237
11/1/07,7240
12/1/07,7645
1/1/08,7678
2/1/08,7491
3/1/08,7816
4/1/08,7631
5/1/08,8395
6/1/08,8578
7/1/08,8950
8/1/08,9450
9/1/08,9501
10/1/08,10083
11/1/08,10544
12/1/08,11299
1/1/09,12049
2/1/09,12860
3/1/09,13389
4/1/09,13796
5/1/09,14505
6/1/09,14727
7/1/09,14646
8/1/09,14861
9/1/09,15012
10/1/09,15421
11/1/09,15227
12/1/09,15124
1/1/10,14953
2/1/10,15039
3/1/10,15128
4/1/10,15221
5/1/10,14876
6/1/10,14517
7/1/10,14609
8/1/10,14735
9/1/10,14574
10/1/10,14636
11/1/10,15104
12/1/10,14393
1/1/11,13919
2/1/11,13751
3/1/11,13628
4/1/11,13792
5/1/11,13892
6/1/11,14024
7/1/11,13908
8/1/11,13920
9/1/11,13897
10/1/11,13759
11/1/11,13323
12/1/11,13097
1/1/12,12758
2/1/12,12806
3/1/12,12673
4/1/12,12500
5/1/12,12720
6/1/12,12749
7/1/12,12794